"acce.roundNo","turtle.ID","sex","cl","time","date","hour","month","year","julian","x","y","z","ODBA","airTemp","waterTemp","rainfall","roll_sum_24h","heavyRain","acce.netWeight"
1,607,"F",141.3,"2020-10-14 10:15:00",2020-10-14,10,10,"2020",288,-0.00230206804913836,0,0.00144277922598235,0.00824974992455463,20.625,21,0,30,"no",30
1,331,"M",192,"2020-10-14 10:30:00",2020-10-14,10,10,"2020",288,0.000846354166666674,-0.00274038027944278,-0.00191227771794181,0.0136701812727204,20.5625,21,0,30,"no",41
1,607,"F",141.3,"2020-10-14 10:30:00",2020-10-14,10,10,"2020",288,0,0,0.00102663720827784,0.00236211813360249,20.5625,21,0,30,"no",30
1,331,"M",192,"2020-10-14 10:45:00",2020-10-14,10,10,"2020",288,0.00046742807973274,-0.0173105865488678,0.0110294138370311,0.0357176243894994,20.5625,21,0,30,"no",41
1,607,"F",141.3,"2020-10-14 10:45:00",2020-10-14,10,10,"2020",288,0,0,0.00191612857628481,0.00650442222707853,20.5625,21,0,30,"no",30
1,331,"M",192,"2020-10-14 11:00:00",2020-10-14,11,10,"2020",288,-0.0277513746019606,0.0212546080221861,0.0630188550598706,0.26440579006497,20.5625,21,0,30,"no",41
1,607,"F",141.3,"2020-10-14 11:00:00",2020-10-14,11,10,"2020",288,-0.00399944835979992,0,0.00303344658813415,0.0109600712872198,20.5625,21,0,30,"no",30
1,331,"M",192,"2020-10-14 11:15:00",2020-10-14,11,10,"2020",288,-0.00511830563100099,0.0120093421118812,0.0044804885869339,0.0219336571631494,20.625,21,0,30,"no",41
1,607,"F",141.3,"2020-10-14 11:15:00",2020-10-14,11,10,"2020",288,-0.00118959274232712,-0.00156241599112691,0.00138329552392055,0.0140787137125027,20.625,21,0,30,"no",30
1,331,"M",192,"2020-10-14 11:30:00",2020-10-14,11,10,"2020",288,0.000381589981199387,0.0017578125,0.00145161912740036,0.0121619428748335,20.75,21,0,30,"no",41
1,607,"F",141.3,"2020-10-14 11:30:00",2020-10-14,11,10,"2020",288,0.00111108238549645,9.91819595335119e-05,0,0.00534040612165613,20.75,21,0,30,"no",30
1,331,"M",192,"2020-10-14 11:45:00",2020-10-14,11,10,"2020",288,-0.0556227545241217,0.0208216317103036,0.0535300962058775,0.148105992856969,21.0625,21,0,30,"no",41
1,607,"F",141.3,"2020-10-14 11:45:00",2020-10-14,11,10,"2020",288,0.00128885871073371,-0.00020308738570457,0,0.00516640748574342,21.0625,21,0,30,"no",30
1,331,"M",192,"2020-10-14 12:00:00",2020-10-14,12,10,"2020",288,-0.00184084036623094,0.00135243716786684,0.00194742052652211,0.011600400467588,21.125,21,0,29,"no",41
