"ID","acce.roundNo","turtle.ID","sex","cl","time","date","hour","month","year","julian","x","y","z","ODBA","airTemp","waterTemp","rainfall","roll_sum_24h","heavyRain","acce.netWeight","ID_old","ODBA.scaled","state"
"609-5-1","5","609","F",134.5,"2022-09-17 18:15:00",2022-09-17,18,9,2022,260,0,-0.000161367495351877,0,0.00609920136287323,1.766887782016,1.68295174608551,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-4.94777298536404,1
"609-5-1","5","609","F",134.5,"2022-09-17 18:30:00",2022-09-17,18,9,2022,260,-0.0104002686766359,0.0127782428075397,-0.000975036790466483,0.0283046651698996,1.65921195043746,1.68295174608551,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-3.53000855481772,1
"609-5-1","5","609","F",134.5,"2022-09-17 18:45:00",2022-09-17,18,9,2022,260,0.000969321477133966,0,0,0.00669014145576645,1.55153611885892,1.68295174608551,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-4.8678161008657,1
"609-5-1","5","609","F",134.5,"2022-09-17 19:00:00",2022-09-17,19,9,2022,260,0.000985402401418041,0.00168834800182456,0,0.0107619566848083,1.55153611885892,1.68295174608551,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-4.44288496558945,1
"609-5-1","5","609","F",134.5,"2022-09-17 19:15:00",2022-09-17,19,9,2022,260,0,-0.00660390499257687,0.0012577591679154,0.0146976016604922,1.44386028728039,1.68295174608551,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-4.15424733877515,1
"609-5-1","5","609","F",134.5,"2022-09-17 19:30:00",2022-09-17,19,9,2022,260,0,0,0,0,1.33618445570185,1.68295174608551,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-6.90775527898214,1
"609-5-1","5","609","F",134.5,"2022-09-17 19:45:00",2022-09-17,19,9,2022,260,0.000310927679091737,0.00179752159732628,0.00205176225684037,0.0189390037046287,1.33618445570185,1.68295174608551,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-3.91507748035927,1
"609-5-1","5","609","F",134.5,"2022-09-17 20:00:00",2022-09-17,20,9,2022,260,0,0,-9.91819595335119e-05,0.0017267861262002,1.33618445570185,1.4895845344884,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-5.90463160643042,1
"609-5-1","5","609","F",134.5,"2022-09-17 20:15:00",2022-09-17,20,9,2022,260,0.00169947782252471,0.00253315206928489,0.000972009761072201,0.0176221375195985,1.33618445570185,1.4895845344884,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-3.98340421675097,1
"609-5-1","5","609","F",134.5,"2022-09-17 20:30:00",2022-09-17,20,9,2022,260,0,0,0,0,1.22850862412332,1.4895845344884,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-6.90775527898214,1
